ID	CHR	BP	P	tissue	BPcum	disease
TAPBP	6	33267471	0.58713	Plasma	1095071627	Urate
CLIC5	6	45848564	0.96088	Plasma	1107652720	Urate
PSMB1	6	170844208	0.45078	Plasma	1232648364	Urate
ECI2	6	4115927	0.42521	Plasma	1065920083	Urate
RSPO3	6	127439816	0.70846	Plasma	1189243972	Urate
PREP	6	105721093	0.70646	Plasma	1167525249	Urate
NT5E	6	86159302	0.12645	Plasma	1147963458	Urate
COL9A1	6	70925743	0.65362	Plasma	1132729899	Urate
LRP11	6	150139893	0.76907	Plasma	1211944049	Urate
VNN2	6	133065009	0.77763	Plasma	1194869165	Urate
SMOC2	6	168841831	0.59591	Plasma	1230645987	Urate
IGF2R	6	160390114	0.33586	Plasma	1222194270	Urate
TREM2	6	41126244	0.20659	Plasma	1102930400	Urate
MDGA1	6	37598455	0.93371	Plasma	1099402611	Urate
RNASET2	6	167335601	0.2031	Plasma	1229139757	Urate
GSTA1	6	52656169	0.02734	Plasma	1114460325	Urate
ASF1A	6	119215316	0.46421	Plasma	1181019472	Urate
SH3BGRL2	6	80341046	0.10263	Plasma	1142145202	Urate
GMPR	6	16238818	0.15191	Plasma	1078042974	Urate
MICA	6	31367561	0.61324	Plasma	1093171717	Urate
AIF1	6	31582994	0.00441	Plasma	1093387150	Urate
NCR3	6	31556672	0.07686	Plasma	1093360828	Urate
C2	6	31865562	0.44342	Plasma	1093669718	Urate
CD109	6	74405508	0.05759	Plasma	1136209664	Urate
THBS2	6	169615875	0.66874	Plasma	1231420031	Urate
PLG	6	161123270	0.44038	Plasma	1222927426	Urate
HSPA1A	6	31783320	0.1794	Plasma	1093587476	Urate
AGER	6	32148745	0.07905	Plasma	1093952901	Urate
CFB	6	31913427	0.18686	Plasma	1093717583	Urate
PLG	6	161123270	0.05728	Plasma	1222927426	Urate
VTA1	6	142468299	0.83139	Plasma	1204272455	Urate
SMPDL3A	6	123110194	0.54468	Plasma	1184914350	Urate
VEGFA	6	43737921	0.68711	Plasma	1105542077	Urate
IL20RA	6	137321108	0.01856	Plasma	1199125264	Urate
IL22RA2	6	137464957	0.96929	Plasma	1199269113	Urate
MICB	6	31462658	0.00282	Plasma	1093266814	Urate
DLL1	6	170591294	0.56852	Plasma	1232395450	Urate
TNFRSF21	6	47199268	0.98031	Plasma	1109003424	Urate
MLN	6	33762450	0.01802	Plasma	1095566606	Urate
TNXB	6	32008930	0.04931	Plasma	1093813086	Urate
TREML2	6	41157487	0.13505	Plasma	1102961643	Urate
CLPS	6	35762759	0.99039	Plasma	1097566915	Urate
ADGRF5	6	46820259	0.63764	Plasma	1108624415	Urate
ENPP5	6	46126922	0.70981	Plasma	1107931078	Urate
LRP11	6	150139893	0.77548	Plasma	1211944049	Urate
GFRAL	6	55192267	0.13442	Plasma	1116996423	Urate
HLA-DQA2	6	32709168	0.79538	Plasma	1094513324	Urate
MANEA	6	96025361	0.02061	Plasma	1157829517	Urate
STX7	6	132767006	0.43266	Plasma	1194571162	Urate
UST	6	149068166	0.71628	Plasma	1210872322	Urate
RSPO3	6	127439816	0.65434	Plasma	1189243972	Urate
TREM1	6	41235664	0.24439	Plasma	1103039820	Urate
CRISP2	6	49660071	0.35093	Plasma	1111464227	Urate
DLK2	6	43418090	0.51215	Plasma	1105222246	Urate
METTL24	6	110565143	0.88416	Plasma	1172369299	Urate
PTK7	6	43044045	0.59752	Plasma	1104848201	Urate
NQO2	6	2988221	0.98944	Plasma	1064792377	Urate
PPIL1	6	36822603	0.92411	Plasma	1098626759	Urate
MYO6	6	76458909	0.52586	Plasma	1138263065	Urate
SERPINB1	6	2832566	0.916	Plasma	1064636722	Urate
ACOT13	6	24667263	0.874	Plasma	1086471419	Urate
BTN3A3	6	26440700	1.13E-13	Plasma	1088244856	Urate
PILRA	7	99965153	0.589	Plasma	1332653692	Urate
HSPB1	7	75931990	0.282	Plasma	1308620529	Urate
TBL2	7	72981867	0.356	Plasma	1305670406	Urate
PCOLCE	7	100199986	0.355	Plasma	1332888525	Urate
ASL	7	65540787	0.497	Plasma	1298229326	Urate
BLVRA	7	43798279	0.0864	Plasma	1276486818	Urate
BPGM	7	134331563	0.353	Plasma	1367020102	Urate
CROT	7	86974980	0.936	Plasma	1319663519	Urate
VOPP1	7	55503749	0.657	Plasma	1288192288	Urate
VWC2	7	49813234	0.349	Plasma	1282501773	Urate
BMPER	7	33943920	0.708	Plasma	1266632459	Urate
AOC1	7	150521715	0.461	Plasma	1383210254	Urate
PGAM2	7	44102326	0.636	Plasma	1276790865	Urate
EPHB4	7	100400187	0.992	Plasma	1333088726	Urate
GUSB	7	65425671	0.00925	Plasma	1298114210	Urate
AKR1B1	7	134127108	0.809	Plasma	1366815647	Urate
SFRP4	7	37945534	0.0481	Plasma	1270634073	Urate
NCF1	7	74188309	0.612	Plasma	1306876848	Urate
AKR1D1	7	137687070	0.00225	Plasma	1370375609	Urate
UPP1	7	48128225	0.289	Plasma	1280816764	Urate
PLXNA4	7	131808091	0.476	Plasma	1364496630	Urate
INHBA	7	41706766	0.00000993	Plasma	1274395305	Urate
IGFBP3	7	45951844	0.182	Plasma	1278640383	Urate
EGFR	7	55086710	0.215	Plasma	1287775249	Urate
SHH	7	155592674	0.18	Plasma	1388281213	Urate
MET	7	116312250	0.469	Plasma	1349000789	Urate
SERPINE1	7	100770385	0.59	Plasma	1333458924	Urate
CD36	7	79998891	0.0885	Plasma	1312687430	Urate
PTN	7	136912088	0.992	Plasma	1369600627	Urate
PRSS1	7	142457319	0.775	Plasma	1375145858	Urate
RARRES2	7	150035406	0.0366	Plasma	1382723945	Urate
EPHA1	7	143087382	0.783	Plasma	1375775921	Urate
SBDS	7	66452667	0.602	Plasma	1299141206	Urate
PRSS2	7	142468247	0.262	Plasma	1375156786	Urate
SEMA3E	7	82992554	0.973	Plasma	1315681093	Urate
PIP	7	142829170	0.168	Plasma	1375517709	Urate
CCDC126	7	23637001	0.37	Plasma	1256325540	Urate
PILRA	7	99965153	0.588	Plasma	1332653692	Urate
SEMA3C	7	80371854	0.513	Plasma	1313060393	Urate
NPTX2	7	98246597	0.329	Plasma	1330935136	Urate
TRIL	7	28992974	0.566	Plasma	1261681513	Urate
CHST12	7	2443223	0.809	Plasma	1235131762	Urate
SNX8	7	2291405	0.0225	Plasma	1234979944	Urate
CNTNAP2	7	145813094	0.924	Plasma	1378501633	Urate
TPST1	7	65670304	0.767	Plasma	1298358843	Urate
ADAM22	7	87563458	0.345	Plasma	1320251997	Urate
GPNMB	7	23275586	0.97	Plasma	1255964125	Urate
GPNMB	7	23275586	0.766	Plasma	1255964125	Urate
CPA4	7	129932974	0.0198	Plasma	1362621513	Urate
AZGP1	7	99564343	0.015	Plasma	1332252882	Urate
TAC1	7	97361396	0.675	Plasma	1330049935	Urate
NT5C3A	7	33053742	0.57	Plasma	1265742281	Urate
POR	7	75528518	0.674	Plasma	1308217057	Urate
EPHB6	7	142552823	0.643	Plasma	1375241362	Urate
SCARA5	8	27727400	0.1782	Plasma	1419238826	Urate
DECR1	8	91013633	0.805	Plasma	1482525059	Urate
WISP1	8	134203282	0.9168	Plasma	1525714708	Urate
DOK2	8	21766384	0.7951	Plasma	1413277810	Urate
HRSP12	8	99114572	0.8486	Plasma	1490625998	Urate
MSR1	8	15965387	0.3008	Plasma	1407476813	Urate
GPT	8	145728356	0.434	Plasma	1537239782	Urate
UNC5D	8	35092993	0.2592	Plasma	1426604419	Urate
CDH17	8	95139390	0.4176	Plasma	1486650816	Urate
RAB2A	8	61429495	0.8299	Plasma	1452940921	Urate
IMPA1	8	82569149	0.6802	Plasma	1474080575	Urate
ZFAND1	8	82613569	0.7688	Plasma	1474124995	Urate
GSR	8	30535583	0.3898	Plasma	1422047009	Urate
DOK2	8	21766384	0.7147	Plasma	1413277810	Urate
PLAT	8	42032236	0.966	Plasma	1433543662	Urate
GFRA2	8	21547910	0.5723	Plasma	1413059336	Urate
ANGPT2	8	6357153	0.0597	Plasma	1397868579	Urate
NOV	8	120428686	0.813	Plasma	1511940112	Urate
SFRP1	8	41119481	0.3074	Plasma	1432630907	Urate
MATN2	8	98881068	0.2843	Plasma	1490392494	Urate
BMP1	8	22022653	0.7106	Plasma	1413534079	Urate
CA13	8	86132816	0.4443	Plasma	1477644242	Urate
LYN	8	56792394	0.3167	Plasma	1448303820	Urate
CA3	8	86285665	0.5777	Plasma	1477797091	Urate
CA1	8	86239837	0.6784	Plasma	1477751263	Urate
FGFR1	8	38257733	0.7264	Plasma	1429769159	Urate
FGL1	8	17721889	0.2896	Plasma	1409233315	Urate
ST3GAL1	8	134467091	0.9484	Plasma	1525978517	Urate
YWHAZ	8	101928751	0.904	Plasma	1493440177	Urate
DEFB1	8	6728114	0.3856	Plasma	1398239540	Urate
ASPH	8	62413115	0.6501	Plasma	1453924541	Urate
RMDN1	8	87480486	0.0749	Plasma	1478991912	Urate
FUT10	8	33228342	0.0845	Plasma	1424739768	Urate
CTSB	8	11700033	0.7725	Plasma	1403211459	Urate
TNFRSF11B	8	119935796	0.1699	Plasma	1511447222	Urate
RSPO2	8	108911544	0.8263	Plasma	1500422970	Urate
RIPK2	8	90770034	0.5071	Plasma	1482281460	Urate
PENK	8	57349233	0.1961	Plasma	1448860659	Urate
IMPAD1	8	57870490	0.4453	Plasma	1449381916	Urate
GGH	8	63927440	0.9269	Plasma	1455438866	Urate
CPQ	8	97657470	0.087	Plasma	1489168896	Urate
PDGFRL	8	17433942	0.2726	Plasma	1408945368	Urate
TNFRSF10D	8	22993101	0.1123	Plasma	1414504527	Urate
PTGDS	9	139869544	0.922824	Plasma	1677658734	Urate
SVEP1	9	113127528	0.547371	Plasma	1650916718	Urate
SVEP1	9	113127528	0.233775	Plasma	1650916718	Urate
B4GALT1	9	33104080	0.012302	Plasma	1570893270	Urate
FCN2	9	137772656	0.716979	Plasma	1675561846	Urate
CNTFR	9	34551430	0.585022	Plasma	1572340620	Urate
C8G	9	139839637	0.248585	Plasma	1677628827	Urate
AMBP	9	116822407	0.429017	Plasma	1654611597	Urate
GLIPR2	9	36136533	0.749701	Plasma	1573925723	Urate
ALAD	9	116148592	0.768466	Plasma	1653937782	Urate
FCN1	9	137795078	0.01681	Plasma	1675584268	Urate
TMEFF1	9	103235431	0.468546	Plasma	1641024621	Urate
NUDT2	9	34329504	0.083475	Plasma	1572118694	Urate
GSN	9	123970072	0.783005	Plasma	1661759262	Urate
PHPT1	9	139743176	0.907091	Plasma	1677532366	Urate
ADAMTSL1	9	17906561	0.925033	Plasma	1555695751	Urate
OGN	9	95145550	0.000108	Plasma	1632934740	Urate
GOLM1	9	88641061	0.321775	Plasma	1626430251	Urate
NANS	9	100819014	0.599408	Plasma	1638608204	Urate
IL11RA	9	34650699	0.000771	Plasma	1572439889	Urate
SH3GLB2	9	131769315	0.019553	Plasma	1669558505	Urate
GRHPR	9	37422663	0.221074	Plasma	1575211853	Urate
PSAT1	9	80912041	0.378914	Plasma	1618701231	Urate
AIF1L	9	133971863	0.146823	Plasma	1671761053	Urate
SPINK4	9	33218363	0.453698	Plasma	1571007553	Urate
PTGR1	9	114312002	0.056628	Plasma	1652101192	Urate
C5	9	123714613	0.660231	Plasma	1661503803	Urate
C5	9	123714613	0.380108	Plasma	1661503803	Urate
TNFSF15	9	117546932	0.497876	Plasma	1655336122	Urate
PDCD1LG2	9	5510531	0.451716	Plasma	1543299721	Urate
ADAMTS13	9	136279478	0.018191	Plasma	1674068668	Urate
FCN2	9	137772656	0.730107	Plasma	1675561846	Urate
CTSV	9	99791959	0.596097	Plasma	1637581149	Urate
TNFSF8	9	117655623	0.498673	Plasma	1655444813	Urate
TEK	9	27109139	0.754667	Plasma	1564898329	Urate
PAPPA	9	118916070	0.213147	Plasma	1656705260	Urate
TNC	9	117781854	0.548758	Plasma	1655571044	Urate
GSN	9	123970072	0.99963	Plasma	1661759262	Urate
NTRK2	9	87283466	0.786837	Plasma	1625072656	Urate
ENG	9	130577292	0.259553	Plasma	1668366482	Urate
ANXA1	9	75766781	0.04544	Plasma	1613555971	Urate
AK1	9	130628765	0.475323	Plasma	1668417955	Urate
CD274	9	5450503	0.745097	Plasma	1543239693	Urate
NOTCH1	9	139388885	0.363637	Plasma	1677178075	Urate
GAS1	9	89559277	0.553452	Plasma	1627348467	Urate
OBP2B	9	136080664	0.695219	Plasma	1673869854	Urate
OLFM1	9	137967268	0.622043	Plasma	1675756458	Urate
SEMA4D	9	91975702	0.00025	Plasma	1629764892	Urate
ADAMTSL2	9	136397286	0.157204	Plasma	1674186476	Urate
ASPN	9	95218487	0.000508	Plasma	1633007677	Urate
ST6GALNAC6	9	130647600	0.002135	Plasma	1668436790	Urate
ROR2	9	94325373	0.592281	Plasma	1632114563	Urate
DPP7	9	140004998	0.668077	Plasma	1677794188	Urate
QSOX2	9	139098179	0.566564	Plasma	1676887369	Urate
COL15A1	9	101705461	0.573306	Plasma	1639494651	Urate
GOLM1	9	88641061	0.33859	Plasma	1626430251	Urate
TMEM2	9	74298282	0.630984	Plasma	1612087472	Urate
CEL	9	135937368	0.104746	Plasma	1673726558	Urate
MTAP	9	21802635	0.92487	Plasma	1559591825	Urate
ABO	9	136108665	0.423766	Plasma	1673897855	Urate
MSMB	10	51562515	0.25238	Plasma	1730458342	Urate
UCMA	10	13263766	0.69939	Plasma	1692159593	Urate
FGFBP3	10	93666341	0.59304	Plasma	1772562168	Urate
PDLIM1	10	96997329	0.51073	Plasma	1775893156	Urate
C10orf54	10	73507313	0.78351	Plasma	1752403140	Urate
RGS10	10	121259329	0.31853	Plasma	1800155156	Urate
GSTO1	10	105995114	0.06585	Plasma	1784890941	Urate
PLEKHA1	10	124134212	0.83023	Plasma	1803030039	Urate
ARL3	10	104433488	0.82675	Plasma	1783329315	Urate
KIAA1279	10	70748559	0.36307	Plasma	1749644386	Urate
FAM213A	10	82167585	0.03516	Plasma	1761063412	Urate
IL15RA	10	5985602	0.58909	Plasma	1684881429	Urate
C10orf54	10	73507313	0.7478	Plasma	1752403140	Urate
ANXA7	10	75134859	0.54044	Plasma	1754030686	Urate
UNC5B	10	72972327	0.37644	Plasma	1751868154	Urate
PNLIPRP2	10	118380465	0.31015	Plasma	1797276292	Urate
HTRA1	10	124218067	0.66722	Plasma	1803113894	Urate
AKR1C3	10	5077546	0.19943	Plasma	1683973373	Urate
RBM17	10	6130997	0.85051	Plasma	1685026824	Urate
ANXA11	10	81910645	0.02851	Plasma	1760806472	Urate
SAR1A	10	71907045	0.12177	Plasma	1750802872	Urate
NUDT5	10	12207329	0.00247	Plasma	1691103156	Urate
NMT2	10	15144583	0.75065	Plasma	1694040410	Urate
IDI2	10	1064850	0.01429	Plasma	1679960677	Urate
ANXA7	10	75134859	0.48674	Plasma	1754030686	Urate
AKR1C4	10	5237425	0.22778	Plasma	1684133252	Urate
ADK	10	75910960	0.33705	Plasma	1754806787	Urate
SRGN	10	70847859	0.96991	Plasma	1749743686	Urate
SFTPD	10	81697223	0.23964	Plasma	1760593050	Urate
GDI2	10	5807186	0.00734	Plasma	1684703013	Urate
MBL2	10	54525140	0.89822	Plasma	1733420967	Urate
IL2RA	10	6052652	0.44946	Plasma	1684948479	Urate
ASAH2	10	51942538	0.16301	Plasma	1730838365	Urate
RET	10	43572512	0.13342	Plasma	1722468339	Urate
GFRA1	10	117816436	0.31325	Plasma	1796712263	Urate
IL15RA	10	5985602	0.41276	Plasma	1684881429	Urate
CXCL12	10	44865613	0.16715	Plasma	1723761440	Urate
DKK1	10	54074041	0.51499	Plasma	1732969868	Urate
CDNF	10	14861244	0.55533	Plasma	1693757071	Urate
PPIF	10	81107225	0.35412	Plasma	1760003052	Urate
FAS	10	90750288	0.18456	Plasma	1769646115	Urate
SPOCK2	10	73818792	0.68486	Plasma	1752714619	Urate
NRP1	10	33466420	0.11165	Plasma	1712362247	Urate
MINPP1	10	89264632	0.4191	Plasma	1768160459	Urate
CRTAC1	10	99624757	0.51733	Plasma	1778520584	Urate
PNLIPRP1	10	118349897	0.81725	Plasma	1797245724	Urate
ST8SIA6	10	17357420	0.15307	Plasma	1696253247	Urate
VWA2	10	115999013	0.31885	Plasma	1794894840	Urate
ENTPD1	10	97471536	0.20181	Plasma	1776367363	Urate
LIPN	10	90519739	0.56824	Plasma	1769415566	Urate
PRDX3	10	120927232	0.4255	Plasma	1799823059	Urate
ITIH2	10	7745279	0.43826	Plasma	1686641106	Urate
FAS	10	90750288	0.18348	Plasma	1769646115	Urate
XPNPEP1	10	111624524	0.08543	Plasma	1790520351	Urate
PLAU	10	75668935	0.02239	Plasma	1754564762	Urate
ITIH5	10	7601232	0.80309	Plasma	1686497059	Urate
CLMP	11	122940580	0.306	Plasma	1937203811	Urate
APLP2	11	129938042	0.424	Plasma	1944201273	Urate
HTATIP2	11	20385231	0.598	Plasma	1834648462	Urate
SERPINH1	11	75273101	0.445	Plasma	1889536332	Urate
SMPD1	11	6411670	0.641	Plasma	1820674901	Urate
NTM	11	131240373	0.277	Plasma	1945503604	Urate
KIAA1549L	11	33397654	0.705	Plasma	1847660885	Urate
TALDO1	11	747415	0.329	Plasma	1815010646	Urate
CD59	11	33724556	0.0452	Plasma	1847987787	Urate
HMBS	11	118955576	0.673	Plasma	1933218807	Urate
CBL	11	119077008	0.796	Plasma	1933340239	Urate
UBASH3B	11	122526430	0.935	Plasma	1936789661	Urate
TRIM3	11	6469843	0.916	Plasma	1820733074	Urate
ARRB1	11	74971166	0.892	Plasma	1889234397	Urate
SWAP70	11	9685624	0.0107	Plasma	1823948855	Urate
AP2A2	11	924894	0.0859	Plasma	1815188125	Urate
RELT	11	73087444	0.339	Plasma	1887350675	Urate
APOA5	11	116660083	0.627	Plasma	1930923314	Urate
LDHA	11	18416107	0.0962	Plasma	1832679338	Urate
CD248	11	66081965	0.00382	Plasma	1880345196	Urate
FOLR3	11	71825915	0.867	Plasma	1886089146	Urate
SAA4	11	18252902	0.431	Plasma	1832516133	Urate
FOLR2	11	71927645	0.73	Plasma	1886190876	Urate
PDGFD	11	103777917	0.541	Plasma	1918041148	Urate
CALCB	11	14926543	0.218	Plasma	1829189774	Urate
GIF	11	59596746	0.401	Plasma	1873859977	Urate
APOA4	11	116691416	0.185	Plasma	1930954647	Urate
TPP1	11	6633999	0.253	Plasma	1820897230	Urate
PDHX	11	34937376	0.56	Plasma	1849200607	Urate
RDX	11	109735021	0.472	Plasma	1923998252	Urate
SAA2	11	18260770	0.939	Plasma	1832524001	Urate
CYB5R2	11	7686331	0.77	Plasma	1821949562	Urate
NAP1L4	11	2965661	0.969	Plasma	1817228892	Urate
LRP4	11	46878268	0.22	Plasma	1861141499	Urate
TCN1	11	59620273	0.991	Plasma	1873883504	Urate
LAYN	11	111411005	0.0026	Plasma	1925674236	Urate
MMP7	11	102391239	0.325	Plasma	1916654470	Urate
JAM3	11	133938966	0.652	Plasma	1948202197	Urate
IL18BP	11	71709659	0.544	Plasma	1885972890	Urate
LYVE1	11	10578513	0.367	Plasma	1824841744	Urate
CNTN5	11	98891679	0.888	Plasma	1913154910	Urate
CADM1	11	115039938	0.246	Plasma	1929303169	Urate
CAT	11	34460481	0.166	Plasma	1848723712	Urate
DKK3	11	11977754	0.271	Plasma	1826240985	Urate
F2	11	46740746	0.462	Plasma	1861003977	Urate
SPON1	11	13984270	0.827	Plasma	1828247501	Urate
PCSK7	11	117075053	0.63	Plasma	1931338284	Urate
SERPING1	11	57364860	0.0136	Plasma	1871628091	Urate
MMP12	11	102733467	0.539	Plasma	1916996698	Urate
NCAM1	11	112831969	0.159	Plasma	1927095200	Urate
CDON	11	125825691	0.361	Plasma	1940088922	Urate
GSTP1	11	67351213	0.743	Plasma	1881614444	Urate
MMP1	11	102660132	0.0699	Plasma	1916923363	Urate
MMP13	11	102813724	0.0389	Plasma	1917076955	Urate
F2	11	46740746	0.654	Plasma	1861003977	Urate
PRCP	11	82533978	0.916	Plasma	1896797209	Urate
CHRDL2	11	74407474	0.199	Plasma	1888670705	Urate
OAF	11	120081740	0.221	Plasma	1934344971	Urate
APOC3	11	116700422	0.944	Plasma	1930963653	Urate
NELL1	11	20691097	0.0483	Plasma	1834954328	Urate
B3GAT3	11	62382768	0.0000156	Plasma	1876645999	Urate
LRRC32	11	76368568	0.529	Plasma	1890631799	Urate
C1QTNF5	11	119209652	0.000838	Plasma	1933472883	Urate
ESAM	11	124622479	0.177	Plasma	1938885710	Urate
TMEM132A	11	60691932	0.208	Plasma	1874955163	Urate
FJX1	11	35640008	0.0548	Plasma	1849903239	Urate
ADM	11	10326620	0.00212	Plasma	1824589851	Urate
CRTAM	11	122709208	0.0649	Plasma	1936972439	Urate
PTPRJ	11	48002110	0.193	Plasma	1862265341	Urate
MRVI1	11	10594638	0.431	Plasma	1824857869	Urate
KDELC2	11	108342839	0.0989	Plasma	1922606070	Urate
C11orf68	11	65684281	0.000000014	Plasma	1879947512	Urate
NTM	11	131240373	0.272	Plasma	1945503604	Urate
MMP10	11	102641233	0.834	Plasma	1916904464	Urate
MMP8	11	102582527	0.812	Plasma	1916845758	Urate
CTSF	11	66330935	0.325	Plasma	1880594166	Urate
PDGFD	11	103777917	0.912	Plasma	1918041148	Urate
LRRC4C	11	40135753	0.346	Plasma	1854398984	Urate
ARHGAP1	11	46698630	0.624	Plasma	1860961861	Urate
TIRAP	11	126152960	0.0245	Plasma	1940416191	Urate
CDHR5	11	616577	0.98	Plasma	1814879808	Urate
SAA1	11	18287807	0.949	Plasma	1832551038	Urate
ENO2	12	7022909	0.662	Plasma	1956217815	Urate
TMED2	12	124069080	0.0503	Plasma	2073263986	Urate
CLEC12A	12	10103915	0.415	Plasma	1959298821	Urate
SELPLG	12	109015671	0.0257	Plasma	2058210577	Urate
RECQL	12	21621844	0.643	Plasma	1970816750	Urate
TESC	12	117476728	0.17	Plasma	2066671634	Urate
LUM	12	91496406	0.0565	Plasma	2040691312	Urate
TMEM132D	12	129556270	0.309	Plasma	2078751176	Urate
ARHGEF25	12	58003963	0.00385	Plasma	2007198869	Urate
GPD1	12	50497765	0.105	Plasma	1999692671	Urate
PSMD9	12	122326638	0.0637	Plasma	2071521544	Urate
IGFBP6	12	53491220	0.135	Plasma	2002686126	Urate
PIANP	12	6802957	0.595	Plasma	1955997863	Urate
AMIGO2	12	47469490	0.033	Plasma	1996664396	Urate
EIF4B	12	53400066	0.942	Plasma	2002594972	Urate
INHBC(7.95e-63)	12	57828567	1E-30	Plasma	2007023473	Urate
LGR5	12	71833578	0.48	Plasma	2021028484	Urate
ACVRL1	12	52300692	0.00247	Plasma	2001495598	Urate
PFKM	12	48498922	0.33	Plasma	1997693828	Urate
RAB21	12	72148643	0.46	Plasma	2021343549	Urate
FKBP4	12	2904136	0.0702	Plasma	1952099042	Urate
HEBP1	12	13127804	0.691	Plasma	1962322710	Urate
COL2A1	12	48366750	0.223	Plasma	1997561656	Urate
USP15	12	62654119	0.489	Plasma	2011849025	Urate
ERBB3	12	56470583	0.207	Plasma	2005665489	Urate
TNFRSF1A	12	6437923	0.585	Plasma	1955632829	Urate
CNTN1	12	41086241	0.198	Plasma	1990281147	Urate
LTA4H	12	96394531	0.0218	Plasma	2045589437	Urate
LRIG3	12	59265931	0.0198	Plasma	2008460837	Urate
NTN4	12	96051583	0.000638	Plasma	2045246489	Urate
NTF3	12	5541274	0.88	Plasma	1954736180	Urate
PEBP1	12	118573929	0.408	Plasma	2067768835	Urate
TPI1	12	6976283	0.388	Plasma	1956171189	Urate
CLEC1B	12	10138241	0.507	Plasma	1959333147	Urate
PLXNC1	12	94542353	0.304	Plasma	2043737259	Urate
TAPBPL	12	6560856	0.749	Plasma	1955755762	Urate
HSP90B1	12	104323885	0.259	Plasma	2053518791	Urate
INHBC(7.95e-63)	12	57828567	1E-30	Plasma	2007023473	Urate
MMP19	12	56229217	0.139	Plasma	2005424123	Urate
PMEL	12	56347889	0.45	Plasma	2005542795	Urate
MGP	12	15033798	0.822	Plasma	1964228704	Urate
TMEM132C	12	128751715	0.0693	Plasma	2077946621	Urate
CHST11	12	104849073	0.912	Plasma	2054043979	Urate
GXYLT1	12	42475647	0.297	Plasma	1991670553	Urate
C1S	12	7096351	0.566	Plasma	1956291257	Urate
TMEM132B	12	125670932	0.381	Plasma	2074865838	Urate
C1RL	12	7242183	0.682	Plasma	1956437089	Urate
CPM	12	69235977	0.639	Plasma	2018430883	Urate
MANSC1	12	12478990	0.759	Plasma	1961673896	Urate
MANSC4	12	27915360	0.81	Plasma	1977110266	Urate
PIANP	12	6802957	0.287	Plasma	1955997863	Urate
KRT1	12	53068520	0.984	Plasma	2002263426	Urate
LAG3	12	6881678	0.294	Plasma	1956076584	Urate
C1R	12	7187518	0.513	Plasma	1956382424	Urate
ART4	12	14978503	0.928	Plasma	1964173409	Urate
PCDH9	13	66876966	0.9839	Plasma	2149859118	Urate
EFNB2	13	107142093	0.4835	Plasma	2190124245	Urate
KL	13	33590561	0.8025	Plasma	2116572713	Urate
GAS6	13	114523522	0.8005	Plasma	2197505674	Urate
C1QTNF9	13	24881304	0.483	Plasma	2107863456	Urate
SLITRK6	13	86366925	0.9409	Plasma	2169349077	Urate
DCLK1	13	36342789	0.0627	Plasma	2119324941	Urate
HS6ST3	13	96742361	0.8112	Plasma	2179724513	Urate
TNFSF13B	13	108903588	0.3829	Plasma	2191885740	Urate
F10	13	113777113	0.8792	Plasma	2196759265	Urate
F7	13	113760102	0.5277	Plasma	2196742254	Urate
POSTN	13	38136720	0.5313	Plasma	2121118872	Urate
CPB2	13	46627321	0.9675	Plasma	2129609473	Urate
TPT1	13	45907606	0.6412	Plasma	2128889758	Urate
SLITRK5	13	88323626	0.7239	Plasma	2171305778	Urate
F10	13	113777113	0.8081	Plasma	2196759265	Urate
ESD	13	47345391	0.5991	Plasma	2130327543	Urate
GPC5	13	92050875	0.4502	Plasma	2175033027	Urate
THSD1	13	52951302	0.4955	Plasma	2135933454	Urate
MTIF3	13	28009780	0.2418	Plasma	2110991932	Urate
FREM2	13	39261214	0.0136	Plasma	2122243366	Urate
PYGL	14	51324609	0.066115	Plasma	2249386749	Urate
EVL	14	100437786	0.284327	Plasma	2298499926	Urate
MAX	14	65472892	0.732233	Plasma	2263535032	Urate
PPM1A	14	60712470	0.194749	Plasma	2258774610	Urate
AP1G2	14	24028774	0.670905	Plasma	2222090914	Urate
SMOC1	14	70320848	0.294037	Plasma	2268382988	Urate
SERPINA10	14	94746797	0.007295	Plasma	2292808937	Urate
FLRT2	14	85996488	0.047791	Plasma	2284058628	Urate
GNPNAT1	14	53241911	0.634889	Plasma	2251304051	Urate
ADSSL1	14	105190566	0.148333	Plasma	2303252706	Urate
PNP	14	20937113	0.297469	Plasma	2218999253	Urate
RNASE3	14	21359544	0.374924	Plasma	2219421684	Urate
FBLN5	14	92335755	0.094328	Plasma	2290397895	Urate
AKT1	14	105235686	0.988972	Plasma	2303297826	Urate
NID2	14	52471521	0.879646	Plasma	2250533661	Urate
ATXN3	14	92510840	0.951939	Plasma	2290572980	Urate
TCL1A	14	96176284	0.505158	Plasma	2294238424	Urate
PSME2	14	24612571	0.933874	Plasma	2222674711	Urate
DTD2	14	31915242	0.312601	Plasma	2229977382	Urate
GMPR2	14	24701628	0.033104	Plasma	2222763768	Urate
SERPINA3	14	95078721	0.08251	Plasma	2293140861	Urate
LGALS3	14	55590828	0.000356	Plasma	2253652968	Urate
SERPINA5	14	95027779	0.655116	Plasma	2293089919	Urate
SERPINA4	14	95027779	0.009834	Plasma	2293089919	Urate
SERPINA1	14	94843084	0.000778	Plasma	2292905224	Urate
LGMN	14	93170152	0.038973	Plasma	2291232292	Urate
SERPINA3	14	95078721	0.450274	Plasma	2293140861	Urate
ENTPD5	14	74424713	0.119524	Plasma	2272486853	Urate
