clade_name	Healthy01	Healthy02	Healthy03	Healthy04	Healthy05	Healthy06	Healthy07	Healthy08	Healthy09	Healthy10	Patients01	Patients02	Patients03	Patients04	Patients05	Patients06	Patients07	Patients08	Patients09	Patients10
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_ER4|t__SGB15254	0.79141	0	0	0	0.00906	0	1.04111	0.67674	0	0.04417	1.6155	0	11.15517	0	0	1.15578	1.11457	0.0051	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__GGB4248|s__GGB4248_SGB5746|t__SGB5746	0.75111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens|t__SGB1867	0.71651	0.08941	0.59515	0	0.06711	1.17611	0.81961	0.01091	0.15191	1.68991	5.15014	0.11411	0	0.85178	0.04556	0.00696	0.71411	0	0.00941	0.0118
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara|t__SGB1798	0.61617	0	0	0	1.10407	0	0	0.59104	0	0	0	0	0	0	0	0.77874	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis|t__SGB1934	0.57916	0.17406	0.16516	0	0.11859	0.11114	0.09917	0.14714	1.11616	0.9914	0.14119	1.58111	0.05919	0.81009	1.01171	0.00917	1.91816	0.01794	0.01977	0.41976
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_sp_AF17_16|t__SGB2326	0.54146	0.14616	0	0	0.04188	0.01001	0.16101	0.07061	0.10119	0	0.04591	0.05111	0.09894	0.1115	1.19111	0.71167	0.06191	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__SGB17248	0.51514	0	0	0	0	0	0.01547	0	0.01911	0	0.15047	0	0	0.10571	0.09858	7.1165	0.01966	1.18917	0.16801	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter|s__Dysosmobacter_welbionis|t__SGB15078	0.48965	0.41111	0	0.01951	0.01011	0.11801	0.15546	0.07696	0.40116	0.00496	0.15067	1.44186	0.06716	0.49011	7.41965	0.09094	0.10686	0.01881	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae|t__SGB1949	0.48411	0.00716	0.46614	0.8118	0.11507	1.19151	0	0.10401	0	0.58881	0	0	0	0.56018	1.68708	0.17811	0	0.05117	0.01959	0.97474
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_bacterium|t__SGB5191	0.47097	0	0	0	0	0	0	0	0	0	0	0.11714	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor|s__Flavonifractor_plautii|t__SGB15132	0.4561	0.18564	0.11496	6.11151	0.10719	0.90181	0.10484	0.01104	0.68175	0.00614	1.01598	11.18119	1.00415	0.11709	1.51616	0.01115	0.11101	0.47617	0.08561	1.56988
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Hungatella|s__Hungatella_hathewayi|t__SGB4741	0.41509	0.01169	0	0	0.01161	0	0	0.00111	0.00565	0	0.01411	0.0606	0	0	0.00669	0	0.00914	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_soehngenii|t__SGB4537	0.41901	0	0	0	0.06716	0	0.0955	0.01179	0.00701	0	0.00449	0	1.11608	0	0	0.01419	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_acidifaciens|t__SGB1943	0.41176	0	0	0	0.01179	0	0	0	0	0	0.01966	0	0.01908	0.00108	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF34_10BH|t__SGB4914	0.40871	0.01191	0	0.7909	1.76517	0.01189	0.51789	0.19898	0.09711	1.16655	0	0	0.14491	0	0	0.16181	1.46911	0.01544	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__GGB9747|s__GGB9747_SGB15356|t__SGB15356	0.19014	0.15817	0	0	0	0	0	0.69117	0	0	0	0	0	0	0	0.06118	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB33469|s__GGB33469_SGB15236|t__SGB15236	0.16914	0	0	0	0.00687	0	0	0.08644	0	0	0	0	0	0	0	0.51106	0.08111	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger|t__SGB15467	0.16818	0	0	0	0	0	0.17811	0.11751	0	0	0	0	0	0.70711	1.06761	0.16179	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3632|s__GGB3632_SGB4921|t__SGB4921	0.16487	0	0	0	0	0	0	0	0	0	0	0	0.0117	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus|t__SGB1790	0.15164	0.1114	0	0	0.18545	0.10171	0.10175	0.10459	0.07964	0.18615	0.01064	0	0.0411	0.18156	0.17511	0.01684	0.40464	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus|t__SGB5121	0.1141	0	0	0	0	0	0	0	0	0.14856	0	0	0	0	0	0.0788	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus|t__SGB4540_group	0.1111	0	1.68196	0.50716	0.01441	0.11108	0.14477	0	0.07511	0.10065	0.889	0.00884	1.71689	0.06176	0.00576	0.01177	0	0.10541	0.87511	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus|t__SGB1844	0.11779	0.41119	0	0	0	0.01174	0.11619	0.49084	0.11447	0	0	0	0.01157	0.19815	0	0	0.40411	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fluxus|t__SGB1835	0.11719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068	0.11107	0.17091	0	0.1109	0.10815	0.00977	0	0.1756	0.01071	0	0	4.11671	0.00814	0.00816	0.9151	1.04101	1.68561	0.57611	47.87691	0.16181
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__GGB6554|s__GGB6554_SGB9256|t__SGB9256	0.1105	0	0	0	0	0	0	0	0	0	0	0	0	0.01751	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9531|s__GGB9531_SGB14932|t__SGB14932	0.11984	0.14971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Vescimonas|s__Vescimonas_coprocola|t__SGB15089	0.11145	0.04166	0	0	0	0.01155	0.1165	0	0	0.01018	0.06708	0	0.11016	0	0	0.14181	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__GGB6574|s__GGB6574_SGB9290|t__SGB9290	0.18111	0.05971	0	0	0	0	0	0	0	0	0	0	0	0.46886	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_faecalis|t__SGB1782	0.17188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes|t__SGB4577	0.15761	0	0	0	0.05174	0	0	0.01115	0.44815	0.11018	0.05815	0	1.59168	0	0	0.1486	0.04719	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_faecis|t__SGB4820	0.1561	0	0.0047	0	0.05465	0.00916	0.14961	0.00911	0	1.06018	0.04194	0	0.46459	0.15115	0.01701	0.16015	0.00011	0.16171	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa|t__SGB1784	0.14064	0.15068	0	0	0.01596	0	0	0.05801	0	0	0.01949	0.00811	0.00116	0	0.11401	0	0.07698	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus|t__SGB2325	0.11181	0.05611	0	0	0.04809	0	0.15019	0.00414	0.06869	0	0	0.47614	0	0.0465	0	0.08081	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989|f__FGB9989|g__GGB9712|s__GGB9712_SGB15244|t__SGB15244	0.10668	0	0	0	0	0	0	0.07598	0	0	0	0	0	0	0	1.95111	0.06791	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_massiliensis|t__SGB4826	0.10618	0.011	0	0.06659	0.18661	0	0.14971	0.01111	0	0.1741	0	0	0.69058	0	0.09546	0.17167	0.00116	0.19515	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_bolteae|t__SGB4758	0.19841	0.09145	0.19518	0.77181	0.01666	0.04814	0.059	0.00015	0.14591	0.00697	0.68116	0.11478	0	0.0847	0.15169	0.05778	0.04171	0.19685	0.1169	8.16151
k__Bacteria|p__Firmicutes|c__CFGB2889|o__OFGB2889|f__FGB2889|g__GGB9197|s__GGB9197_SGB14136|t__SGB14136	0.19794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01501	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia|t__SGB15452	0.19155	0.1894	0.17161	4.19716	0.19156	0.68111	0	0.0117	0.94111	0.09115	0	4.64071	0.00611	0.11599	0.60187	0.04167	0.78514	1.74756	1.17087	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_scindens|t__SGB4630	0.18811	0.01714	0.01858	0.10471	0	0.08181	0	0	0.01899	0	0.07514	0.11167	0.01141	0.01407	0.01681	0.07454	0.00148	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium|t__SGB4269	0.18498	0.01011	0.06717	0	0.49015	0.11949	1.96599	0	0.01117	0.10581	0	0	0.15618	0.11006	0	0.01104	0.04605	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3069|o__OFGB3069|f__FGB3069|g__GGB9767|s__GGB9767_SGB15385|t__SGB15385	0.17846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01947	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Tyzzerella|s__Tyzzerella_nexilis|t__SGB4588	0.17819	0.01065	10.17069	1.18914	0	1.91101	0	0	0	0	1.87466	0.76717	0.00101	0.11005	0.80098	0	1.51948	0.08049	0	0.0619
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9699|s__GGB9699_SGB15216|t__SGB15216	0.16461	0.05507	0	0	0.00641	0	0	0.04165	0	0	0.64006	0	0.01111	0.18141	0	0.19791	0.17171	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Sanguibacteraceae|g__Sanguibacter|s__Sanguibacter_SGB53806|t__SGB53806	0.15487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41984	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_bouchesdurhonensis|t__SGB21587	0.14911	0	0	0	0	0	0.01849	0.01478	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena|t__SGB4582	0.11781	0.18068	0	0.6576	0.17889	0	0.19867	0.04654	0.16941	1.08147	0.11	0	0.51671	0	0	0.11184	0.0601	1.14411	0.15157	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_provencensis|t__SGB2298	0.11715	0	0	0	0	0	0	0	0.01768	0	0.00187	0	0.00071	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB33928|s__GGB33928_SGB15225|t__SGB15225	0.11647	0.11895	0	0	0	0	0	0.0111	0	0	0	0	0	0	0	1.07681	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_1001270H_150608_G6|t__SGB5111	0.11515	0	0	0	0	0	0	5.90157	0	0	0	0	0.04505	0	0	0.01857	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_bicirculans|t__SGB4262	0.11509	0	0	0	0.11187	0	0	0.16155	0	1.09568	0.15476	0	0.81119	1.1715	0	0.00784	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Hydrogenoanaerobacterium|s__Hydrogenoanaerobacterium_saccharovorans|t__SGB15350	0.11419	0.11467	0	0	0.05169	0.01178	0.01401	0.05086	0	0.0181	0.18986	0	0	0.0711	1.10447	0.19181	0.17741	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_sp_TM07_1AC|t__SGB1939	0.1197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans|t__SGB15271	0.11165	0.11751	0.00157	0.79816	0.06887	0.15017	1.14504	0.01171	0.16075	0.00846	0.17984	1.11687	0.91011	0.06681	1.94056	0.41489	0.17981	0.01116	0.01119	0.10588
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_faecium|t__SGB5792	0.11118	1.14469	1.77119	0	0.99105	1.11116	1.10886	1.16006	1.50576	1.17051	1.07464	1.11081	0.04505	1.15115	0.00094	1.11018	0.10911	0.11745	0.6854	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Ruminococcaceae_bacterium_AM28_23LB|t__SGB14974	0.11711	0.07061	0	0	0	0	0.01617	0.00405	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_sp_AF13_28|t__SGB4834	0.11669	0.51097	0.86675	0.46476	0	0.11445	0.1414	0.00707	0.16016	0.17147	0.11991	0.01815	0.78414	0	0.01675	0.01681	0.05194	0.69891	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9708|s__GGB9708_SGB15233|t__SGB15233	0.11501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB32970|o__OFGB32970|f__FGB32970|g__GGB51884|s__GGB51884_SGB49168|t__SGB49168	0.1101	0	0	0	0.06117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta|t__SGB14809	0.1019	0.01181	0.01101	0.14801	0.0576	0	0.00501	0	0.00918	0.01177	0.06575	0.66811	0.06155	0.01064	0.01461	0.04801	0.01111	0.11445	0.08745	1.17116
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068|g__GGB9760|s__GGB9760_SGB15374|t__SGB15374	0.10111	0	0	0	0	0	0	0	0	0	0.16996	0	0	0	0.06144	0.59181	0.55104	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__SGB15316	0.09161	0.11106	4.56616	0	1.75748	0.61491	0.8771	0.08801	1.80104	0.51657	4.50511	1.05491	0.61719	0	10.46819	0.49079	1.96815	11.41861	8.84869	0.00177
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans|t__SGB4940	0.09119	0.00195	0	0	0	7.59418	1.86541	0.11498	0	1.90895	0.09515	0	1.01851	0	0	0.01518	1.95561	1.61416	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB74403|s__GGB74403_SGB53807|t__SGB53807	0.08961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii|t__SGB1858	0.08686	0.14811	0.01911	0	0.0619	0	0.00666	0.0014	0.19188	0.08114	0.11175	0.00049	0	0	0.00019	0	0.08165	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_AM59_24XD|t__SGB4654	0.08141	0	0	0	0	0	0	0	0	0.11948	0	0	0.01164	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum|t__SGB17237	0.08111	0	0.00118	1.11611	0.04615	0.00187	0.17167	0	0	0	0	0	0	0.15115	0.07677	1.18886	0	0.01118	0.10644	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9707|s__GGB9707_SGB15229|t__SGB15229	0.08118	0.07414	0	0	0.00769	0	0	0.01654	0	0.00511	0	0	0	0	0	0.16195	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068|g__GGB9760|s__GGB9760_SGB15373|t__SGB15373	0.07814	0.011	0	0	0	0	0	0.0064	0	0	0	0	0	0.08567	0	0.11454	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507|f__FGB1507|g__GGB3815|s__GGB3815_SGB5180|t__SGB5180	0.07514	0	0	0	0	0	0	0.01174	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_OM04_12BH|t__SGB4893	0.07157	0	0	0	0.01017	0.04607	0	0.04566	0	0	0	0	0.00111	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae|g__Catenibacterium|s__Catenibacterium_SGB4425|t__SGB4425_group	0.07051	0	0	0	0	0	1.70011	0	0	0	0	0	0.51817	0.15781	0	0.84154	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_faecis|t__SGB1940	0.07018	0	0	0	0	0	0.10111	0	0.01875	0	0	0	0.01175	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaerotruncus|s__Anaerotruncus_colihominis|t__SGB14963	0.06751	0.10975	0	0	0.00168	0.0111	0.01115	0	0.10456	0	0.01011	0.11114	0	0.05061	0.16899	0.00116	0.01705	0.01011	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_Marseille_Q3526|t__SGB4703	0.06671	0	0.19119	0.11461	0	0.0569	0	0	0.1519	0.01469	0	0.69171	0	0	0	0	0.16791	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Sellimonas|s__Sellimonas_intestinalis|t__SGB4617	0.06616	0	0	0	0	0.07175	0.00917	0	0	0	0.11119	0	0.18881	0.06168	0.01151	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_senegalensis|t__SGB2296	0.06609	0.0141	0	0	0	0	0.17591	0.10054	0	0	0	0	0	0	0	0.10061	0.01655	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_SGB4602|t__SGB4602	0.06197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Ruminococcaceae_bacterium_D5|t__SGB14960	0.05815	0.00144	0	0	0	0	0	0.00815	0	0	0.00794	0	0	0.00191	0.19181	0	0.00407	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae|g__GGB80108|s__GGB80108_SGB59650|t__SGB59650	0.05698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107|f__FGB12107|g__GGB34797|s__GGB34797_SGB14321|t__SGB14321	0.05641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Intestinimonas|s__Intestinimonas_butyriciproducens|t__SGB15126	0.05571	0	0	0	0.00171	0	0	0.00449	0	0	0.0148	0	0.01198	0	0	0.00144	0.00986	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB34228|s__GGB34228_SGB72916|t__SGB72916	0.05565	0	0	0	0.00461	0	0	0.01049	0	0	0	0	0	0	0.99617	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9724|s__GGB9724_SGB15278|t__SGB15278	0.05187	0.04568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Lawsonibacter|s__Lawsonibacter_sp_NSJ_51|t__SGB15131	0.05091	0	0	0	0	0	0	0	0	0	0	0	0	0.00741	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_AF34_35BH|t__SGB5051	0.0476	0	0	0	0	0	0	0.01116	0	0.00016	0	0	0.1169	0.00409	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_lascolaii|t__SGB1585	0.04411	0	0	0	0	0	0.01716	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans|t__SGB4874	0.04111	0.01111	0	0.17961	0.41577	0.41641	0.48865	0.01671	0	0.644	0.14105	0	5.09719	0	0	0.58941	0.01611	0.67579	0.00918	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae|g__Coprobacillus|s__Coprobacillus_cateniformis|t__SGB6771	0.01999	0.00881	0.00114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibacillus|s__Faecalibacillus_intestinalis|t__SGB6754	0.0196	0	0.101	0	0.04507	0.01658	0.15408	0.00164	0	0.11419	0	0	0.80151	0.06101	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__GGB6568|s__GGB6568_SGB9279|t__SGB9279	0.0194	0	0	0	0	0	0	0	0.07011	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB3175|s__GGB3175_SGB4191|t__SGB4191	0.0175	0	0	0	0	0	0	0	0	1.11484	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius|t__SGB8007_group	0.01711	0	0.08785	0	0.01111	0.05119	0.01141	0.04118	0.01018	0	0.18668	0	0.08595	0	0	0	0.01668	1.90955	0.96786	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum|t__SGB5045	0.01714	0	0	1.91161	0.07795	0.81668	0.85191	0.1116	0.04781	0.44111	0.00471	0	0.59577	0	0	0.00061	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter|s__Oxalobacter_formigenes|t__SGB9387	0.0165	0	0	0	0	0	0.0641	0	0.17598	0	0	0	0	0	0.01888	0	0.01109	0.00106	0	0
