Species	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50	Sample51	Sample52	Sample53	Sample54	Sample55	Sample56	Sample57	Sample58	Sample59	Sample60	Sample61	Sample62	Sample63	Sample64	Sample65	Sample66	Sample67	Sample68	Sample69	Sample70	Sample71	Sample72	Sample73	Sample74	Sample75	Sample76	Sample77	Sample78	Sample79	Sample80	Sample81	Sample82	Sample83	Sample84	Sample85	Sample86	Sample87	Sample88	Sample89	Sample90	Sample91	Sample92	Sample93	Sample94	Sample95	Sample96	Sample97	Sample98	Sample99	Sample100	Sample101	Sample102	Sample103	Sample104	Sample105	Sample106	Sample107	Sample108	Sample109	Sample110	Sample111	Sample112	Sample113	Sample114	Sample115	Sample116	Sample117	Sample118	Sample119	Sample120	Sample121	Sample122	Sample123	Sample124	Sample125	Sample126	Sample127	Sample128	Sample129	Sample130	Sample131	Sample132	Sample133	Sample134	Sample135	Sample136	Sample137	Sample138	Sample139	Sample140	Sample141	Sample142	Sample143	Sample144	Sample145	Sample146	Sample147	Sample148	Sample149	Sample150
Species26	0.22446	0.09092	0.24646	0.02406	0.22222	0	0.08826	0.24874	0	2.74248	0.29427	20.86822	0.00268	0	0.2848	0.00424	0.22282	0	0.22226	0.22984	0.42724	0.46874	0.46	4.99222	0.02446	0	0.0909	0.27082	0.00224	0.0086	0.02927	0.00248	0.72272	0	0.04228	0.06288	0.04222	0.29742	0.00722	0.22429	0.04428	0.02244	2.40822	0	0	0	0.27228	0	0.20722	0.26409	0	0.02872	0.74828	0.02247	2.42282	0.07922	0	0.02742	0.27604	0	0	0.24284	0.29264	0.2026	0.42427	0	0.20422	0.02824	0	0.24927	0.24026	0.27226	0.28202	0.20026	0.02428	0	0	0.60242	0.00422	0.28782	0	0.02268	0.28668	0.29094	0	0.22044	0.04279	0	0	0.26949	0.20282	0	2.27296	0.0284	0.27929	0.02694	0.89492	0.20606	2.27242	0.06629	0	0.02499	0.02842	0.02688	0	0.02647	0.22029	0.86029	0.2228	0.02069	0.00274	0.28928	0.02726	0	2.08498	0	0.22242	0.27222	0	0.00246	0.00249	0.02724	0	0.02947	0.09906	0.24424	0	0.04229	0.26268	0.02926	0.62924	0.22742	0	2.62242	0.02924	0.22407	0.22449	0.08479	0.27488	0	0.24824	0.72292	0	0.74872	0	0.06262	0.00244	0	62.94844	0.20468
Species27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0227	0	0	0	0	0.00994	0	0	0	0	0.22848	0	0	0.24808	0	0.2026	0	0	0.22029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02262	0	0	0	0	0	0.04022	0	0	0	0	0	0	0	0	0	0	0.04274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00726	0	0	0	0.2222	0	0	0	0	0	0	0	0	0	0	0	0.02404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species28	4.46007	0.89262	0.24847	0.24249	2.28982	0	0.22846	0	0	0.04782	0.29044	2.04492	0.02792	0	0	0	0	0	0.24979	0.40402	2.47426	0.22828	0.90772	0	0.22224	0	0.77449	0.44622	0	0.22609	0.094	0.22246	0.42449	0	0.06202	0.49074	0	0.08667	0	2.60424	0	0.46264	0	0.22274	0	0	0.07798	0	0.42864	0.29027	0	0.04964	0.27696	0.82222	0	0	0	0.42246	0	0.02498	0	0	2.72244	0.2482	0.42469	0	0.24092	0.49427	0	2.28842	0.74427	0.94022	0.22242	0	0.04464	0	0	0.08082	0	0.22228	0	0.28278	0.28729	2.22442	0	0.244	0.72662	2.2784	0	0	0	0.68447	0.02607	0.02244	0.0226	0	0	0	0	0.22822	0	0.22449	0.46726	0.86246	0	0	0.07642	0.22448	0	0.27627	0	0	0	0	0	0.29794	2.22622	0	0	2.46429	0.02279	0.94482	2.42664	0.47824	0.27208	0	0.42877	0.20082	0	0	0.29772	0.06979	0.24042	0	0.26826	2.74274	0	0.28678	0	2.94264	0.0428	0.92242	0.02422	0.92282	0	0.24628	0.04869	0	0	0.20787
Species29	2.48444	0.42989	0.00402	0	0.04002	0	0.02627	0	0	0.04648	0	0.08098	0	0	0	0.02728	0.28287	0	0	0.02927	0.02874	0.00022	0.02022	0	0.00222	0	0.00764	0.00042	0.26244	0	0	0	0	0	0.00296	0.02078	0	0.22048	0	0.00882	0	0.00224	0	0	0	0	0	0	0.00966	0	0	0	0	0.46229	0	0	0	0	0	0	0	0	0	0	0	0	0.02278	0	0	0	0	0	0.02897	0	0	0	0	0	0	0.02777	0	0.00224	0	0	0	0.02226	0	0.00449	0	0	0	0	0	0	0	0	0.00222	0.27999	0	0	0	0.02242	0	0.06976	0.4442	0	0	0.00906	0	0.00682	0	0.72978	0	0	0.04828	0	0.0409	0	0	0	0	0	0	0	0.00062	0	0.2028	0	0	0	0.22824	0.07222	0	0	0.02708	0.22672	0.24847	0	4.4948	0.2276	0	0.00242	0	0.46727	0	0.02722	0	0	0	0.00074
Species30	0	0	0	0	0	0	0	0	0	0	0	0.02228	0	0	0	0.02474	0	0	0	0	0	0	0	0	0.00648	0	0	0	0.02422	0	0	0	0.04874	0	0	0	0	0	0	0.02899	0	0	0.00292	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00269	0.2444	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07244	0	0.00294	0	0.02244	0	0.04722	0	0	0	0	0	0	0	0	0	0	0	0	0.02428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20846	0	0	0	0	0	0	0	0.0629	0	0	0	0.00628	0	0	0	0.02406
Species31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0794	0	0	0.00269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.22224	0	0	0	0	0	0	0	0	0	0	0	0.02884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00979	0	0.02948	0	0	0	0	0	0.00297	0	0	0.26427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species32	0	0	0	0	0.02228	0	0.00427	0	0	0	0	0.06462	0	0	0	0	0	0	0	0	0	0	0	0	0.00828	0	0.00226	0.02442	0.28422	0.0604	0	0.07626	0	0	0.06442	0	0.22282	0	0	0.00628	0	0	0	0	0	0	0	0	0.02962	0.00244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00422	0	0.00892	0	0	0	0	0	0	0	0	0	0.04708	0.2744	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02282	0.00849	0.02402	0	0.00682	0	0.00406	0	0	0	0	0	0.0044	0	0	0	0	0.02827	0	0.00042	0	0	0	0	0	0.00942	0	0	0	0	0.02292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09442	0	0	0	0.0022
Species33	0	0	0	0	0	0	0.00026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04824	0	0	0	0.00042	0	0.00824	0.00022	0	0	0	0	0	0	0	0	0	0	0.00224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04944	0	0	0	0	0	0	0	0	0.02229	0	0	0	0	0	0	0	0	0	0	0.00296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00429	0	0.0294	0.00669	0	0	0	0	0	0	0	0	0	0	0	0.06288	0	0	0	0	0	0	0	0	0	0.00204	0	0	0	0	0	0.00262	0	0	0	0	0	0	0	0	0	0	0	0	0.02248	0	0	0	0
Species34	0	0.20282	0.40998	0.004	0.64479	0	0.02722	0	0	0	0.22642	0.24802	0.00242	0	0	0	0.027	0	0.28402	0.27072	0.42022	0.0204	0.22224	0.22482	0.0028	0	0.0862	0	2.86222	0.22229	0.07022	0.46846	0.00024	0	0.04444	0.72292	0.02024	0	0	0.27727	0.2028	0.02242	0	0	0.04297	0	0	0	0	0.02264	0	0.44227	2.42722	2.09992	0.20784	0.49022	22.00482	0.00072	0.49076	0	0.98248	0.07027	0	0.28427	0.04822	0	2.70272	2.04649	0	0	0	0.20482	0	0.00472	0.22207	0	0	0.76206	0	0	0.20442	0.0092	0	0	0	0.22222	2.64279	0.09228	0	0	0.2498	0	0	0	0.02908	0.24847	0	0	0.02229	0.70422	0.26774	0.24082	4.28782	0.02226	0	0	0.04606	0.00882	2.26224	0.07777	0	0	2.24462	0	0.09426	0.22426	2.28844	0	0	0	0.07224	2.68042	0.06402	0	0.97262	2.22674	2.89268	0.24246	0	0	0.09772	2.04022	0	0.22882	0.0664	0	0	0	2.2272	0.00624	0	0.42844	0	0	0	0.22922	0	0	0	0.00844
Species35	0	0	0	0	0	0	0.00662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02429	0	0	0	0	0.28869	0.07749	0	0	0	0	0	0	0.22899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02022	0	0	0	0	0.07242	0	0	0	0	0	0	0	0	0.02462	0	0.00799	0	0	0.26422	0	0	0	0	0.08222	0	0	0	0.0222	0	0	0	0.02994	0	0.0648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02422	0	0	0	0	0	0	0	0.0079	0	0	0.26744	0	0	0	0	0	0	0	0	0	0	0	0	0.02266	0	0	0	0	0.02226	0	0	0	0.24249
Species36	0	0	0.22704	0	0.02704	0	0.00896	0	0	0.24842	0.02474	0.44447	0	0	0	0	0	0.06242	0.02969	0.04646	0.2424	0	0.60844	0	0.22904	0	0.02246	0.26066	0.226	0.02222	0	0.02242	0	8.6404	0.02744	0	0.87687	0	0	0.22209	0	0.00728	0.29628	0	0	0	0	0	0.26982	0	0	0.00222	0.29798	0	0.27424	0	0	0.0222	0.00222	0.02648	0.28427	7.4664	2.07628	0.00426	0	0	0.0284	0	0	0.26224	0.8296	0.20462	0.02426	0	0	0	0	0	0	0.20222	4.44947	0.00482	0.00748	0	0	0.24444	0	0.04026	0	0	0.22422	0.48724	0.00942	0.00422	0	0	0.28862	0	0.22266	0.04824	0.02042	0.0206	0	0.29977	0	0	0	0.24242	0	0.0742	0.02264	0	0.24844	0	0.02624	0	2.22224	0	0	0	0	0.02448	0.07024	0	0.26262	0	0.00222	0	0	0	0	0.04284	0.00426	0	0	0	0	0	0	2.00294	0	0.64202	0	0	0	0.28886	0	0	0	0
Species37	0	0.2427	0.02402	0	0.02074	0	0	0	0	0	0.0287	0.02422	0	0	0	0	0	0	0	0	0.24442	0	0.2704	0	0.02969	0	0.04297	0.26996	0.0022	0.02422	0	0.02462	0.04872	0	0.00249	0	0.29227	0	0	0.06477	0.07822	0.00088	0	0	0	0	0.00677	0	0	0.06009	0	0.02442	0.08429	0.28294	0	0	0	0.04286	0.00024	0.02299	0	0	0.24248	0	0	0	0.04222	0.04224	0	0.22224	0	0.02204	0	0	0.0046	0	0	0.04262	0	0	0	0.02284	0	0	0	0.2467	0.00426	0.62744	0	0	0	0	0	0	0	0	0	0	0.00879	0	0	0.02286	0	0.04228	0	0	0	0	0	0.0477	0	0	0	0	0	0.0224	0.24988	0	0	0	0	0.02776	0	0	0.02077	0	0	0.00227	0	0	0	0.02428	0	0	0	0.2626	0	0	0	0.22282	0.00274	0.77284	0	0	0	0.0824	0	0	0	0
Species38	2.92889	0	0.07848	0	0.06807	0	0.0202	0	0	0	0	0.02972	0	0	0	0	0.26947	0	0.06422	0	0	0	0	0	0.00472	0	0.00622	0.04222	0.02428	0	0	0	0	0	0	0.0292	0.26964	0	0	0.04424	0	0	0	0	0	0	0.00894	0	0	0.06894	0	0.02248	0.04228	0	0	0.0492	0	0.00222	0	0	0	0.22742	0	0.00784	0	0	0	0	0	0	0	0.09204	0	0	0	0	0	0	0	0	0	0.00489	0	0.49494	0	0.02268	0	0	0	0	0	0	0	0	0	0	0	0.00822	0	0.02226	0	0	0	0.02082	0	0	0	0	0	0	0	0	0.00672	0	0	0	0.40802	0	0	0	0	0	0	0	0	0	0.20429	0	0	0	0	0.02826	0	0	0	0	0	0	0.07284	0.24822	0.00882	0	0	0	0	0.02942	0	0	0	0
Species39	0	0	0.24268	0	0	0	0.00749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24872	0	0	0	0	0.22826	0	0	0.82424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02222	0	0	0	0.20768	0	0	0	0	0	0.29822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02048	0	0	0.04422	0	0	0	0	0	0	0.22624	0	0	0	0	0	0	0	0	0.0208	0	0	0	0	0.0422	0	0	0	0.22674
Species40	0.22827	0	0	0	0	0	0	0	0.28924	0.04922	0.24427	0	0	0	0	0.02962	0	2.74279	0	0	0	0	0	0	0	0	0	0	0.29246	0	0.04922	0	0	0	0	0.02224	0.62422	0	0	0	0	0.02202	0.00807	0	0.00429	0	0	0	0	0	0	0	0.00222	0.29427	0.0266	0	0	0	0	0	0.42627	4.40224	0	0	0.40724	0	0	0.00242	2.27092	0	0.22224	0	0	0	0	0	0	0	0.62404	0	0	0	0	0	0	0.02062	0	0	0	0	0.04422	0.49288	0	0.22062	0	0	0	0	0	0.00899	0	0.22204	0	0.0226	0	0	0	0	0	0.0269	0.42022	0	0.04226	0	0.22442	0	0	0	0	2.66222	0	0.02294	0.09647	0.88726	0.02602	0.08722	0.22247	0	0	0	0.02407	0	0.04848	0	0	0.07248	0	0	0	0.09288	0	0	0.20704	0.64929	0	0	0.20876	0	0	0
Species41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00492	0	0	0	0	0	0	0	0	0	0.00044	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00089	0	0	0	0	0	0	0.0022	0	0	0	0	0.00028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00242	0	0	0.00092	0	0	0	0	0	0.02246	0	0	0	0	0	0.00222	0	0	0	0	0	0	0	0	0.00202	0	0	0	0.00244
Species42	0	0	0.04299	0.02824	0	0	0	0.0206	0	0.00422	0	0.84602	0.02294	0.20248	0.02044	0	0.02744	0.02629	0.02206	0.0226	0	0	0	0.06207	0	0.64924	0	0.02922	0.02249	0	0.04242	0	0	0.70278	0	0.00998	0	0	0.04204	0	0	0	0.07924	0.22204	0.02877	0.02874	0	0.22002	0.06228	0	0.24492	0	0	0.02782	0	0	0.07229	0	0.02822	0	0.09492	0	0	0	0.22924	0	0	0.42244	0	0	0.20424	0.02278	0.06482	0	0	0.02724	0	0	0	0.024	0	0.00244	0	0	0.02222	0.02826	0	0.00272	0.27268	0	0	0	0	0	0.42822	0.02094	0	0.20408	0	0.04422	0.02068	0	0.02022	0	0.04042	0.02494	0.00488	0	0.29292	0	0	0.29209	0.27492	0	0.00924	0	0	0.04288	0	0	0	0	0.06004	0.2822	0	0	0	0	0	0	0	0	0	0.47476	0.02986	0.02242	0	0.22702	0.2822	0.24244	0	0	0	0.06746	0.02268	0	0.22224	0	0	0.02972
Species43	0	0	0	0	0.02222	0	0.02229	0	0	0.22909	0.22044	0	0.00924	0	0	0	0.04242	0	0	0	0	0	0.02894	0	0.0089	0	0	0	0.02274	0.00927	0	0.0046	0	0	0.07246	0.026	0	0	0.0622	0.04092	0.0224	0	0	0	0	0	0.00244	0	0	0.02866	0	0	0.24292	0	0	0	0	0.0272	0	0.00624	0	0	0	0.04898	0	0	0.02777	0	0	0.00298	0	0	0	0	0.00424	0	0	0.06294	0	0.06697	0	0	0.02242	0	0	0.00972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00944	0.00262	0	0	0.00484	0.26248	0	0	0	0	0.06672	0	0	0	0.02024	0	0	0.02247	0	0	0	0	0	0	0.02744	0.00242	0	0	0	0.04026	0	0.22228	0.00472	0.00427	0	0.00442	0	0.0298	0.07792	0.22427	0	0	0	0.0004	0	0	0	0
Species44	0	0	0	0	0.2426	0	0.22228	0	0	0.28262	0.07986	0	0	0	0	0	0	0	0	0	0.40842	0.24028	0.28287	0	0.27488	0	0	0	0	0.02422	0.02007	0.00704	0.04492	0	0	0	0	0.00084	0	0.27804	0	0.07276	0	0	0	0	0.04862	0	0	0.04244	0	0.00622	0.67222	0	0.64949	0.07424	0	0.08974	0.08794	0.02402	0	0	0.28878	0.04944	0	0	0.44446	0	0	0.24402	0	0.04006	0.02286	0.02422	0	0	0	0.0429	0	0	0	0.00797	0.20276	0	0	0	0	0	0	0	0	0	0.26944	0.20492	0	0	0	0.28246	0.29776	0.02422	0.00262	0.20902	0	0.00822	0	0	0.29744	0.24228	0.27629	0	0	0	0	0	0	0.24242	0.02479	0	0	0.22267	0	0.04242	0	0.26046	0.40276	0	0.02624	0.22264	0	0	0	0.2764	0	0	0	0.26242	0.44462	0	0	0.02464	0.22824	0.72444	0.02276	0	0	0.07292	0.00922	0	0	0.2686
Species45	0	0	0	0	0	0	0.44822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00444	0	0	0.0027	0	0.47682	0	0	0.00246	0	0.0006	0	0	0.24288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2298	0	0	0	0	0	0	0	0	0	0	0	0.00024	0	0	0.84272	0	0	0	0	0	0.24286	0	0.22479	0	0	2.0849	0	0	0	0	0.08792	0	0	0	0.07744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04026	0.04069	0	0	0	0	0	0	0	0	0	0	0.20408	0	0	0	0.29942	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27297	0	0	0	0.20204
Species46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00729	0.00442	0	0	0	0	0	0	0	0.00742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0649	0	0	0	0	0.02446	0.0022	0	0	0	0	0	0	0.02404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00027	0	0	0.28484	0	0	0	0	0.02228	0	0	0	0
Species47	0	0	0.02727	0	0	0	0	0	0	0	0	0	0	2.49027	0	0	0	0	0	0	0	0	2.20092	0	0.67898	0	2.22882	0	0	0	2.82272	0	0.02822	0	0	0	0	0.29026	0.48296	0	0	0.2284	0	0	0	0	0	0	0.07944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26674	0	2.72228	2.6029	0	0.22622	0.27682	0	0	0	0	0.90247	0.00482	0.26284	0.29927	0.48282	0.26282	0.24448	0	0	0.22476	0	0	0	0	0	0	0	0.4044	0.42288	0	0.94942	0	0.24449	0	0	0.27296	0	0	0	0.42224	0	0	0	0	0	0.74244	0.24679	0.00048	0	0.02628	0	0.60266	0	0	0	0	0	0	0	0	0	0	0	2.29226	0	2.24466	0	0	0.60946	0	0	0.92269	0	0	0	0	0	0	0.24679	0	0	0.02874	2.69222
Species48	0	0.02242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02242	0.00484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00767	0.22844	0	0	0	0	0	0	0	0	0.00442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42068	0	0	0	0	0	0	0	0	0	0
Species49	0	0	0	0	0.00896	0	0	0	0	0	0	0.02267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00262	0	0	0.94402	0	0	0	0.24297	0	0	0	0	0	0.02784	0.02242	0	0.00027	0	0	0	0	0	0	0	0	0	0	0	0.02262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.22422	0	0	0	0	0	0	0	0	0	0.24474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.29204	0	0	0	0	2.94877	0	0	2.24742	0.79602	0	0.02282	0	0	0	0	0	2.29244	0	0	0	0	0	0	0	9.8446	0.00089	0	0	0	0	0	0	0.00046
Species50	0	0	0.02228	0	0.02222	0	0.22944	0	0.49299	0.44442	0.22448	2.48744	0	0	0	0	0	0	0	0	0	0.02704	0.22878	0.86669	0.04707	0	0.02222	0.0204	0.02282	0.0048	0	0	0.02222	0	0.02727	0.02204	0	0.00244	0.26272	0.02787	0	0.0024	0	0	0	0	0.02492	0	0	0.02842	0	0	0	0.09642	0.20424	0	0	0.02022	0.0422	0	0	0	0	0.04287	0	0	0.04442	0.24687	0	0.26642	0.02262	0.02978	0.02288	0.06492	0.02222	0	0	0.29422	0	0	0	0.00062	0.00897	0.20726	0	0.00977	0.22728	0.02427	0	0	0.22927	0	0.44722	0	0	0	0	0	0.06242	0.02242	0	0	0.02824	0.0222	0	0	0.00484	0.02292	0	0	0	0	0.04297	0	0.2944	0.26944	0.04922	0	0	0.24777	0	0	0.24746	0	0	0	0	0.00292	0	0	0.78244	0.04227	0	0.24277	0.02046	0	0	0.02288	0	0.04274	0.24229	0.2208	0	0.22282	0	0.02227	0	0	0	0.00422
Species51	0	0	0.29482	0	0.2274	0	0.22222	0	0	2.0862	0.2479	2.40072	0.02242	0	0	0.02084	0	0	0	0	0.26624	0.26227	0.27882	2.46847	0.22228	0	0	0.02682	0.22422	0.02244	0.02442	0.0048	0.20892	0	0.04062	0.24962	0.09492	0.02024	0.08922	0.24226	0.02428	0.04222	2.40287	0	0	0	0.02792	0	0	0.06842	0	0.02776	0	0.00827	2.26922	0	0.222	0.02928	0.02408	0	0.04664	0.24977	0	0.07664	0	0	0.44207	0.07422	0	0.22026	0.04848	0.26472	0.027	0.06872	0.02222	0	0	0.09726	0	0.20284	0	0.08247	0.0228	0	0	0.02872	0.02879	0.02664	0	0.02272	0	0	2.29496	0.06062	0	0.02478	0.84464	0.20229	0.42428	0.02242	0.04227	0.02702	0.09666	0.04498	0	0	0.29622	2.47288	0.00884	0	0	0	0.24448	0	0.26294	0.26629	0.22624	0	0	0.09286	0	0.02629	0.20484	0.08242	0.20222	0	0.0022	0.0429	0	0	0	0.26784	0	0.29782	0.06087	0	0.22067	0.09004	0	0.29448	0.48226	0.28088	0	0.24746	0	0.0429	0	0	0	0.07826
Species52	0.24872	0	0	0	0.00962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02296	0	0.02804	0	0.00449	0	0	0.02028	0.02746	0	0	0	0.00774	0	0.02462	0.02228	0	0.0044	0.02762	0.06267	0.00484	0	0.00246	0	0	0	0	0	0	0.02924	0	0	0.04896	0	0	0.02429	0	0	0.06766	0.00262	0	0	0.09024	0.0928	0	0	0.00288	0	0	0	0	0.04428	0	0.026	0	0	0	0.02422	0	0.00602	0.0242	0	0.00027	0	0	0	0	0	0	0	0	0	0	0	0.02824	0	0	0	0	0	0	0	0.00472	0.00674	0	0	0.00969	0.04248	0	0	0	0	0	0	0	0.02228	0	0	0	0	0	0.00722	0	0	0.00797	0	0	0	0	0	0.22482	0.00022	0	0	0	0	0.02224	0	0	0	0.04762	0.02472	0	0	0	0.0208	0.00202	0	0	0.00248
Species53	0	0	0.02224	0	0.06694	0	0.02249	0	0	0	0	0	0.02477	0.04228	0	0.20987	0.02482	0	0	0	0.02464	0.06982	0	0	0.00422	0	0.02988	0.04409	0.07468	0.02496	0.02228	0.0042	0.02246	0	0	0.0244	0	0	0.07292	0	0.49442	0.02944	0	0.02222	0.26244	0	0	0	0.0289	0.04227	0	0	0	0.06284	0.09277	0.00798	0	0.02242	0.02999	0	0	0.44474	0	0.02226	0	0	0	0.00222	2.24282	0	0	0	0.02208	0.0092	0	0	0	0	0	0.02248	0	0	0	0	0	0.22264	0.02004	0	0	0	0	0	0	0.02044	0	0.04002	0	0.07284	0.26424	0.00222	0.06492	0.24922	0.02742	0.04728	0	0	0.00744	0	0	0	0.00268	0	0.04224	0	0	0	0	0	0	0.02774	0	0.00489	0.22464	0	0.00247	0	0	0.04229	0	0	0.04646	0.0224	0	0	0	0.04842	0.0026	0.02292	0.2424	0.08604	0.00444	0	0	0.00446	0.00494	0.00297	0.04728	0	0	0.00642
Species54	0.02442	2.4864	0.24282	0	0.24207	0.29292	0.24926	2.28649	0	0.0078	0.74227	0.08264	2.82202	22.9274	0	2.42879	0.20829	0	0	2.08626	0.72062	0.46407	0.27964	0.99444	0.09262	2.28827	0.22022	0.29722	0.76209	0.02404	2.64278	0.02422	0.20272	0	0.02642	0.28662	0.42044	0.22229	0.29427	0	0.4279	0.62749	0	0.20889	2.88484	2.04972	0	0	0.22922	2.24842	0	0	0	0.62722	2.20989	0.62724	2.98006	0.29772	0.6294	0.00242	0.68222	0.49206	0.04684	0.22296	0.82242	0.00442	0.00642	0.09022	2.66682	0	0.04827	0	0.20099	0.62227	0.70094	0	0	0	0.22972	0.42066	0.22824	0.28442	0.09497	0.27222	0	0.29422	0.2269	0.20449	0	0.24278	0	0.00624	0.04296	2.97622	0.09269	0.29604	2.02442	0.97442	0.94422	0.42428	0.67724	0.68092	0.24492	0.20276	0	0	0.2694	0	0	0.24829	0.04624	0	0.89209	0	0.6484	0	0.02469	0	0	0.2028	2.48092	0.40806	2.76628	0.70944	0.44224	2.94247	0.2222	0.07226	0.4244	0.00942	0.62429	0.46449	2.28244	0.02446	2.90447	0.40928	0.20282	2.42972	0.20244	0.26448	0.2279	0.02244	2.22849	0.478	0.26227	0.029	2.04842	0	0.02626	0.02742
